epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.9955,1.56215,2.50946,1.79694,0.35005,0.3583,0.27985,0.17433,1.47288,2.81355,1.8565,0.000415,0.000415,0.000415
2,186.648,1.72708,2.38996,1.92448,0.437,0.40945,0.30851,0.17139,1.57857,2.82358,1.96493,0.000823433,0.000823433,0.000823433
3,274.504,1.71909,2.34073,1.91284,0.49995,0.43601,0.41413,0.25374,1.52283,2.23508,1.89313,0.00122362,0.00122362,0.00122362
4,360.499,1.68276,2.31741,1.8922,0.56019,0.52174,0.49931,0.33352,1.41135,2.02022,1.75389,0.00121287,0.00121287,0.00121287
5,446.442,1.64855,2.18193,1.85368,0.51182,0.43048,0.39926,0.25013,1.48728,1.97248,1.82957,0.0012005,0.0012005,0.0012005
6,534.897,1.60807,2.13363,1.83864,0.67015,0.52182,0.54426,0.38879,1.3361,1.6964,1.70844,0.00118812,0.00118812,0.00118812
7,621.752,1.5664,2.06512,1.79921,0.66197,0.51344,0.54645,0.37834,1.23237,1.63355,1.61158,0.00117575,0.00117575,0.00117575
8,712.289,1.51627,1.96322,1.7514,0.684,0.52163,0.56021,0.40864,1.16796,1.6489,1.57677,0.00116337,0.00116337,0.00116337
9,797.414,1.50529,1.93533,1.74462,0.67645,0.55608,0.58289,0.42046,1.20997,1.50021,1.56485,0.001151,0.001151,0.001151
10,884.88,1.48527,1.89342,1.73156,0.69064,0.56664,0.59333,0.44108,1.16261,1.45062,1.58615,0.00113863,0.00113863,0.00113863
11,970.858,1.46294,1.83679,1.71128,0.69781,0.59568,0.62694,0.47249,1.10535,1.35217,1.4919,0.00112625,0.00112625,0.00112625
12,1056.25,1.453,1.79995,1.70751,0.65106,0.56284,0.57561,0.43189,1.12496,1.57893,1.51368,0.00111388,0.00111388,0.00111388
13,1143.61,1.42365,1.75376,1.67946,0.70946,0.59489,0.6224,0.47454,1.13359,1.42101,1.52825,0.0011015,0.0011015,0.0011015
14,1229.57,1.40617,1.69561,1.66565,0.70907,0.60729,0.63411,0.48353,1.06617,1.32006,1.46222,0.00108913,0.00108913,0.00108913
15,1316.39,1.38554,1.67691,1.6501,0.67324,0.61304,0.614,0.46894,1.08063,1.342,1.48337,0.00107675,0.00107675,0.00107675
16,1402.67,1.38467,1.64044,1.64669,0.71308,0.57828,0.61805,0.48079,1.0373,1.33689,1.43795,0.00106437,0.00106437,0.00106437
17,1489.77,1.36705,1.62517,1.63752,0.70353,0.6315,0.62262,0.48136,1.03085,1.30341,1.43203,0.001052,0.001052,0.001052
18,1575.36,1.33882,1.58978,1.61001,0.72061,0.59237,0.64459,0.49454,1.04269,1.30012,1.45879,0.00103962,0.00103962,0.00103962
19,1661.22,1.34127,1.58546,1.61102,0.73964,0.60691,0.65283,0.50339,1.03099,1.23176,1.43141,0.00102725,0.00102725,0.00102725
20,1747.09,1.35671,1.56952,1.62033,0.7198,0.62551,0.64678,0.50049,1.03371,1.29372,1.43886,0.00101488,0.00101488,0.00101488
21,1832.76,1.3294,1.5412,1.59901,0.73496,0.60762,0.64025,0.49984,0.99898,1.22746,1.41241,0.0010025,0.0010025,0.0010025
22,1919.32,1.31781,1.51582,1.58837,0.79079,0.61309,0.6594,0.51483,1.02135,1.21873,1.42624,0.000990125,0.000990125,0.000990125
